0h 22m 41s,11/3/2013 15:43,Lake Street & Knox Ave S,30158,11/3/2013 16:05,Upton Ave S & Sheridan Ave S,30165,N00263
0h 30m 55s,11/3/2013 15:39,4th Street S & 19th Ave.,30027,11/3/2013 16:10,Logan Park,30104,N01014
0h 41m 54s,11/3/2013 15:38,Macalester College,30086,11/3/2013 16:20,Dale Street & Grand Ave.,30106,N00898
0h 23m 16s,11/3/2013 15:37,Upper Landing,30134,11/3/2013 16:00,Upper Landing,30134,N01888
0h 23m 19s,11/3/2013 15:37,Upper Landing,30134,11/3/2013 16:00,Upper Landing,30134,N01067
0h 15m 33s,11/3/2013 15:36,University Ave & Western Ave,30138,11/3/2013 15:52,N Milton Street & Summit Ave,30101,N00350
0h 24m 16s,11/3/2013 15:35,Lake Nokomis,30156,11/3/2013 16:00,Lake Nokomis,30156,N01747
0h 11m 12s,11/3/2013 15:34,Washington & Cedar,30015,11/3/2013 15:45,Coffman Memorial Union,30024,N00154
0h 48m 35s,11/3/2013 15:33,Marshall Street NE & 18th Ave NE,30169,11/3/2013 16:22,Central Ave. NE & 22nd Ave NE,30112,N00476
0h 6m 14s,11/3/2013 15:32,Walker Art Center,30016,11/3/2013 15:39,LaSalle Ave & 9th Street S,30167,N01057
0h 34m 56s,11/3/2013 15:32,Lake Street & Knox Ave S,30158,11/3/2013 16:07,YWCA Downtown,30006,N00166
0h 22m 55s,11/3/2013 15:31,Nicollet Mall and Grant Street,30052,11/3/2013 15:54,YWCA Uptown,30020,N01104
0h 23m 9s,11/3/2013 15:31,Nicollet Mall and Grant Street,30052,11/3/2013 15:54,YWCA Uptown,30020,N01765
0h 17m 45s,11/3/2013 15:31,Walker Art Center,30016,11/3/2013 15:49,Lake Street & Knox Ave S,30158,N00580
0h 17m 41s,11/3/2013 15:31,Walker Art Center,30016,11/3/2013 15:49,Lake Street & Knox Ave S,30158,N00235
0h 12m 50s,11/3/2013 15:30,Washington & 2nd Ave. N,30021,11/3/2013 15:43,LaSalle Ave & 9th Street S,30167,N09991
0h 3m 21s,11/3/2013 15:28,22nd Street & Lyndale,30017,11/3/2013 15:31,26th Street & Lyndale,30022,N00855
0h 14m 40s,11/3/2013 15:28,Macalester College,30086,11/3/2013 15:43,St. Catherine University,30102,N01709
0h 30m 11s,11/3/2013 15:27,Washington & 2nd Ave. N,30021,11/3/2013 15:58,6th Ave. SE & University Ave.,30088,N01695
0h 14m 49s,11/3/2013 15:27,Coldwater Spring,30153,11/3/2013 15:42,Fort Snelling State Park,30159,C00537
0h 18m 31s,11/3/2013 15:27,Franklin & 28th Ave,30045,11/3/2013 15:45,Franklin & 28th Ave,30045,N00595
0h 10m 24s,11/3/2013 15:26,Dale Street N & University Ave,30107,11/3/2013 15:36,N Marion Street & University Ave W,30140,N00800
0h 18m 7s,11/3/2013 15:27,Franklin & 28th Ave,30045,11/3/2013 15:45,Franklin & 28th Ave,30045,N00759
0h 8m 24s,11/3/2013 15:25,Minneapolis Park & Recreation Board,30145,11/3/2013 15:33,Marshall Street NE & 18th Ave NE,30169,N00476
0h 12m 39s,11/3/2013 15:25,Minnehaha Park,30149,11/3/2013 15:37,Lake Nokomis,30156,N00599
0h 12m 36s,11/3/2013 15:25,Minnehaha Park,30149,11/3/2013 15:38,Lake Nokomis,30156,N00126
0h 14m 7s,11/3/2013 15:21,6th Street & Jackson Street,30118,11/3/2013 15:35,Upper Landing,30134,N00893
0h 17m 52s,11/3/2013 15:17,6th Street & Jackson Street,30118,11/3/2013 15:35,Upper Landing,30134,N01987
0h 25m 0s,11/3/2013 15:16,26th Street & Hennepin,30044,11/3/2013 15:41,Midtown Exchange,30008,N00694
0h 23m 36s,11/3/2013 15:17,Lake Street & Knox Ave S,30158,11/3/2013 15:41,YWCA Downtown,30006,N00985
0h 17m 39s,11/3/2013 15:17,11th Street & Marquette,30040,11/3/2013 15:34,Hennepin & Central Avenue NE,30005,N00581
